PROVINCIE;BEVOEGD GEZAG NUMMER;BRIN NUMMER;VESTIGINGSNUMMER;VESTIGINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;ONDERWIJSSTRUCTUUR;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;NODAAL GEBIED CODE;NODAAL GEBIED NAAM;RPA-GEBIED CODE;RPA-GEBIED NAAM;WGR-GEBIED CODE;WGR-GEBIED NAAM;COROPGEBIED CODE;COROPGEBIED NAAM;ONDERWIJSGEBIED CODE;ONDERWIJSGEBIED NAAM;RMC-REGIO CODE;RMC-REGIO NAAM
Noord-Holland;26157;16PS;16PS17;Montessori Scholengemeenschap Amsterdam voor Lyceum Havo Mavo Vbo Lwoo;Van Ostadestraat;103;1072 ST;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;          ;                                                                                ;VBO/MAVO/HAVO/VWO;Postbus;92048;1090 AA;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;26157;16PS;16PS18;Montessori Scholengemeenschap Amsterdam voor Lyceum Havo Mavo Vbo Lwoo;C. van Eesterenlaan;50;1019 JN;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;          ;                                                                                ;VBO/MAVO/HAVO/VWO;Postbus;92048;1090 AA;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;26898;02AP;02AP00;Het Amsterdams Lyceum;Valeriusplein;15;1075 BJ;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0205747744;www.amsterdamslyceum.nl;VWO;Valeriusplein;15;1075 BJ;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;26898;02AP;02AP05;Het Amsterdams Lyceum;Olympiaplein;6;1076 AB;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;          ;                                                                                ;VWO;Valeriusplein;15;1075 BJ;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;30742;26JY;26JY00;De Pijler school voor praktijk onderwijs;Drs. F. Bijlweg;232;1784 MC;DEN HELDER;0400;DEN HELDER;Protestants-Christelijk;0223613536;www.de-pijler.nl;PRO;Postbus;6009;1780 KA;DEN HELDER;37;Den Helder;19;Noord-Holland-Noord;23;Kop van Noord-Holland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;23;Kop van Noord-Holland
Noord-Holland;30742;26JY;26JY01;De Pijler school voor praktijk onderwijs;Haffelderweg;40;1791 AS;DEN BURG;0448;TEXEL;Protestants-Christelijk;          ;                                                                                ;PRO;Postbus;6009;1780 KA;DEN HELDER;37;Den Helder;19;Noord-Holland-Noord;23;Kop van Noord-Holland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;23;Kop van Noord-Holland
Noord-Holland;40586;17YS;17YS00;Esprit Scholen voor Lyceum Havo Mavo Vbo Lwoo;Burg Hogguerstraat;2;1064 EB;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0205854854;www.mundus.espritscholen.nl;VBO/MAVO/HAVO/VWO/PRO;Prinses Irenestraat;59;1077 WV;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;40586;17YS;17YS02;Esprit Scholengroep voor Lyceum Havo Mavo Vbo Lwoo;Pieter de Hoochstraat;78;1071 EJ;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0204802700;www.denise.espritscholen.nl;VBO/MAVO/HAVO/VWO;Prinses Irenestraat;59;1077 WV;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;40586;17YS;17YS03;Esprit Scholengroep Voor Lyceum Havo Mavo Vbo Lwoo;Pieter Lodewijk Takstr;33-34;1073 KJ;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0205721200;                                                                                ;VBO/MAVO/HAVO/VWO;Prinses Irenestraat;59;1077 WV;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;40586;17YS;17YS04;Esprit Scholengroep voor Lyceum Havo Mavo Vbo Lwoo;Jan van Galenstraat;31;1051 KM;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0206841075;                                                                                ;VBO/MAVO/HAVO/VWO;Prinses Irenestraat;59;1077 WV;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;40586;17YS;17YS08;Esprit Scholengroep voor Lyceum Havo Mavo Vbo Lwoo;Frederik Hendrikplnts;7-A;1052 XN;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0206110566;                                                                                ;VBO/MAVO/HAVO/VWO;Prinses Irenestraat;59;1077 WV;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;40586;17YS;17YS12;Esprit Scholengroep voor Luceum Havo Mavo Vbo Lwoo;Herman Poortstraat;17;1064 BR;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0205893030;www.springhigh.nl/home;VBO/MAVO/HAVO/VWO;Prinses Irenestraat;59;1077 WV;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;40586;17YS;17YS18;Esprit Scholengroep voor Lyceum Havo Mavo Vbo Lwoo;Arent Janszoon Ernststr;1179;1081 HL;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0205849010;                                                                                ;HAVO/VWO;Prinses Irenestraat;59;1077 WV;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
