Id,Type
15005150,onstreetBus
15005160,onstreetBus
15005260,onstreetBus
15005400,onstreetBus
15005420,onstreetBus
15005490,onstreetBus
15005640,onstreetBus
15006150,onstreetBus
15006610,onstreetBus
15007530,onstreetBus
15007550,onstreetBus
15008110,onstreetBus
15008310,onstreetBus
15020050,onstreetBus
15030030,onstreetBus
15040050,onstreetBus
15050010,onstreetBus
15050140,onstreetBus
15050390,onstreetBus
15050410,onstreetBus
15050450,onstreetBus
15050470,onstreetBus
15050570,onstreetBus
15060100,onstreetBus
15060120,onstreetBus
15070060,onstreetBus
15080080,onstreetBus
15080110,onstreetBus
15100110,onstreetBus
15100150,onstreetBus
15132010,onstreetBus
15139010,onstreetBus
15210010,onstreetBus
15230300,onstreetBus
15250010,onstreetBus
15250110,onstreetBus
15330100,onstreetBus
15360100,onstreetBus
15360430,onstreetBus
15360510,onstreetBus
15360600,onstreetBus
15360700,onstreetBus
15361000,onstreetBus
15430050,onstreetBus
15430210,onstreetBus
16000220,onstreetBus
16000640,onstreetBus
16001830,onstreetBus
16002370,onstreetBus
16002470,onstreetBus
16002490,onstreetBus
16002610,onstreetBus
16002710,onstreetBus
16002730,onstreetBus
16002750,onstreetBus
16010010,onstreetBus
16010220,onstreetBus
16020020,onstreetBus
16020250,onstreetBus
16030010,onstreetBus
16030140,onstreetBus
16100030,onstreetBus
16100050,onstreetBus
16130010,onstreetBus
16131010,onstreetBus
16150050,onstreetBus
16150150,onstreetBus
16151010,onstreetBus
16180050,onstreetBus
16180100,onstreetBus
16180160,onstreetBus
16180280,onstreetBus
16180300,onstreetBus
16180340,onstreetBus
16230010,onstreetBus
16280120,onstreetBus
16280200,onstreetBus
16300010,onstreetBus
16301500,onstreetBus
16310110,onstreetBus
16320070,onstreetBus
16321030,onstreetBus
16321170,onstreetBus
16321190,onstreetBus
16340130,onstreetBus
16340150,onstreetBus
16370150,onstreetBus
16380100,onstreetBus
16380140,onstreetBus
16450310,onstreetBus
16450330,onstreetBus
16520070,onstreetBus
16680070,onstreetBus
16780080,onstreetBus
16780520,onstreetBus
16780560,onstreetBus
17000130,onstreetBus
17000210,onstreetBus
17000420,onstreetBus
17000470,onstreetBus
17000490,onstreetBus
17000510,onstreetBus
17000550,onstreetBus
17001670,onstreetBus
17003060,onstreetBus
17003080,onstreetBus
17003100,onstreetBus
17003120,onstreetBus
17003300,onstreetBus
17003480,onstreetBus
17003600,onstreetBus
17003680,onstreetBus
17003900,onstreetBus
17003910,onstreetBus
17006610,onstreetBus
17010080,onstreetBus
17040020,onstreetBus
17110050,onstreetBus
17170030,onstreetBus
17180070,onstreetBus
17181070,onstreetBus
17181090,onstreetBus
17190010,onstreetBus
17190030,onstreetBus
17280070,onstreetBus
17290010,onstreetBus
17290130,onstreetBus
17290230,onstreetBus
17290250,onstreetBus
17290270,onstreetBus
17290410,onstreetBus
17300210,onstreetBus
17310030,onstreetBus
17310230,onstreetBus
17320010,onstreetBus
17320090,onstreetBus
17320130,onstreetBus
17320150,onstreetBus
17320290,onstreetBus
17350090,onstreetBus
17380150,onstreetBus
17480090,onstreetBus
18000030,onstreetBus
18000150,onstreetBus
18000290,onstreetBus
18000320,onstreetBus
18000330,onstreetBus
18000490,onstreetBus
18000630,onstreetBus
18000730,onstreetBus
18000780,onstreetBus
18001010,onstreetBus
18001290,onstreetBus
18001350,onstreetBus
18001410,onstreetBus
18001540,onstreetBus
18001570,onstreetBus
18001600,onstreetBus
18001770,onstreetBus
18002110,onstreetBus
18010440,onstreetBus
18010480,onstreetBus
18010490,onstreetBus
18011170,onstreetBus
18020050,onstreetBus
18030010,onstreetBus
18030030,onstreetBus
18040150,onstreetBus
18920030,onstreetBus
18080070,onstreetBus
18080290,onstreetBus
18081230,onstreetBus
18090170,onstreetBus
18090190,onstreetBus
18090210,onstreetBus
18090310,onstreetBus
18090330,onstreetBus
18090490,onstreetBus
18090510,onstreetBus
18090570,onstreetBus
18090590,onstreetBus
18090610,onstreetBus
18100030,onstreetBus
18100210,onstreetBus
18100310,onstreetBus
18100810,onstreetBus
18101170,onstreetBus
18103010,onstreetBus
18110030,onstreetBus
18110050,onstreetBus
18110090,onstreetBus
18110150,onstreetBus
18110190,onstreetBus
18120030,onstreetBus
18120110,onstreetBus
18130050,onstreetBus
18130090,onstreetBus
18130190,onstreetBus
18140010,onstreetBus
18140070,onstreetBus
18150050,onstreetBus
18150090,onstreetBus
18150150,onstreetBus
18150350,onstreetBus
18210110,onstreetBus
18260010,onstreetBus
18260510,onstreetBus
18260610,onstreetBus
18260810,onstreetBus
18270030,onstreetBus
18280250,onstreetBus
18300110,onstreetBus
18300130,onstreetBus
18300150,onstreetBus
18300170,onstreetBus
18500140,onstreetBus
18700010,onstreetBus
18700050,onstreetBus
18710030,onstreetBus
18710200,onstreetBus
18724410,onstreetBus
18730130,onstreetBus
18730190,onstreetBus
18730510,onstreetBus
18733610,onstreetBus
18741910,onstreetBus
18742210,onstreetBus
18750050,onstreetBus
18750070,onstreetBus
18750110,onstreetBus
18750130,onstreetBus
