PROVINCIE;BEVOEGD GEZAG NUMMER;BRIN NUMMER;VESTIGINGSNUMMER;VESTIGINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;NODAAL GEBIED CODE;NODAAL GEBIED NAAM;RPA-GEBIED CODE;RPA-GEBIED NAAM;WGR-GEBIED CODE;WGR-GEBIED NAAM;COROPGEBIED CODE;COROPGEBIED NAAM;ONDERWIJSGEBIED CODE;ONDERWIJSGEBIED NAAM;RMC-REGIO CODE;RMC-REGIO NAAM
Gelderland;41340;03UA;03UA00;Rooms Katholieke Basisschool Marienhof;Schoolstraat;9;6626 AC;ALPHEN GLD;0668;WEST MAAS EN WAAL;Rooms-Katholiek;0487561569;www.partnerscholen.nl/home_nieuw/de-marienhof/;Schoolstraat;9;6626 AC;ALPHEN GLD;31;Tiel;13;Nijmegen;15;Rivierenland;16;Zuidwest-Gelderland;11;Oostelijk Maas-Waalgebied;15;Rivierenland
Gelderland;41340;03VT;03VT00;Basisschool De Ruijter;De Ruyterstraat;1;6551 CH;WEURT;0209;BEUNINGEN;Rooms-Katholiek;0246771731;www.deruyterweurt.nl;Kapittelweg;2-B;6551 EB;WEURT;30;Nijmegen;13;Nijmegen;14;Arnhem/Nijmegen;15;Arnhem/Nijmegen;11;Oostelijk Maas-Waalgebied;40;Rijk van Nijmegen
Gelderland;41340;04VI;04VI00;Basisschool De Tweestroom;Kerkstraat;27;6628 AB;ALTFORST;0668;WEST MAAS EN WAAL;Rooms-Katholiek;0487541597;www.2stroom.nl;Kerkstraat;27;6628 AB;ALTFORST;31;Tiel;13;Nijmegen;15;Rivierenland;16;Zuidwest-Gelderland;11;Oostelijk Maas-Waalgebied;15;Rivierenland
Gelderland;41340;05ZR;05ZR00;Openbare Basisschool de Appelhof;Postelkamp;2;6652 BE;DRUTEN;0225;DRUTEN;Openbaar;0487513766;www.ikcdeappelhof.nl;Postelkamp;2;6652 BE;DRUTEN;30;Nijmegen;13;Nijmegen;15;Rivierenland;15;Arnhem/Nijmegen;11;Oostelijk Maas-Waalgebied;40;Rijk van Nijmegen
Gelderland;41340;06JD;06JD00;Basisschool De Laak;Lakenstraat;35-A;6659 BE;WAMEL;0668;WEST MAAS EN WAAL;Rooms-Katholiek;0487501504;www.delaak.nl;Lakenstraat;35-A;6659 BE;WAMEL;31;Tiel;13;Nijmegen;15;Rivierenland;16;Zuidwest-Gelderland;11;Oostelijk Maas-Waalgebied;15;Rivierenland
Gelderland;41340;06OK;06OK00;Rooms Katholieke Basisschool De Wegwijzer;Molenstraat;1;6645 BR;WINSSEN;0209;BEUNINGEN;Rooms-Katholiek;0487521756;                                                                                ;Molenstraat;1;6645 BR;WINSSEN;30;Nijmegen;13;Nijmegen;14;Arnhem/Nijmegen;15;Arnhem/Nijmegen;11;Oostelijk Maas-Waalgebied;40;Rijk van Nijmegen
Gelderland;41340;06SW;06SW00;Sin Victorschool;De Gaard;19;6654 BL;AFFERDEN GLD;0225;DRUTEN;Rooms-Katholiek;0487513503;www.victorschool.nl;Postbus;51;6650 AB;DRUTEN;30;Nijmegen;13;Nijmegen;15;Rivierenland;15;Arnhem/Nijmegen;11;Oostelijk Maas-Waalgebied;40;Rijk van Nijmegen
Gelderland;41340;06VA;06VA00;Rooms Katholieke Basisschool Sint Lambertus;Kampstraat;21-A;6627 AS;MAASBOMMEL;0668;WEST MAAS EN WAAL;Rooms-Katholiek;0487561454;www.partnerscholen.nl/home_nieuw/de-st-lambertusschool/;Kampstraat;21-A;6627 AS;MAASBOMMEL;31;Tiel;13;Nijmegen;15;Rivierenland;16;Zuidwest-Gelderland;11;Oostelijk Maas-Waalgebied;15;Rivierenland
Gelderland;41340;06ZB;06ZB00;Rooms Katholieke Basisschool De Octopus;Octopusstraat;2;6631 CA;HORSSEN;0225;DRUTEN;Rooms-Katholiek;0487541230;www.deoctopus.nl;Octopusstraat;2;6631 CA;HORSSEN;30;Nijmegen;13;Nijmegen;15;Rivierenland;15;Arnhem/Nijmegen;11;Oostelijk Maas-Waalgebied;40;Rijk van Nijmegen
Gelderland;41340;06ZC;06ZC00;Rooms Katholieke Basisschool De Reuzepas;Den Elt;17-C;6644 EA;EWIJK;0209;BEUNINGEN;Rooms-Katholiek;0487521359;www.reuzepas.nl;Postbus;111;6640 AC;BEUNINGEN GLD;30;Nijmegen;13;Nijmegen;14;Arnhem/Nijmegen;15;Arnhem/Nijmegen;11;Oostelijk Maas-Waalgebied;40;Rijk van Nijmegen
